Year,Month,NCEI_PDO
2014,1,-0.57
2014,2,-0.42
2014,3,0.3
2014,4,0.36
2014,5,1.27
2014,6,-0.28
2014,7,0.25
2014,8,0.34
2014,9,0.76
2014,10,1.43
2014,11,1.35
2014,12,1.86
2015,1,1.51
2015,2,1.52
2015,3,1.33
2015,4,0.9
2015,5,0.32
2015,6,0.82
2015,7,1.41
2015,8,0.98
2015,9,0.97
2015,10,0.84
2015,11,0.17
2015,12,0.29
2016,1,0.75
2016,2,1.29
2016,3,1.56
2016,4,1.74
2016,5,1.6
2016,6,0.87
2016,7,0.57
2016,8,-0.63
2016,9,-0.8
2016,10,-0.43
2016,11,0.96
2016,12,0.61
2017,1,-0.05
2017,2,-0.01
2017,3,0.1
2017,4,0.56
2017,5,0.45
2017,6,0.35
2017,7,-0.43
2017,8,-0.63
2017,9,-0.2
2017,10,-0.68
2017,11,-0.59
2017,12,-0.03
2018,1,0.38
2018,2,-0.09
2018,3,-0.72
2018,4,-0.82
2018,5,-0.46
2018,6,-0.66
2018,7,-0.01
2018,8,-0.24
2018,9,-0.35
2018,10,-0.57
2018,11,-0.71
2018,12,-0.21
2019,1,-0.34
2019,2,-0.72
2019,3,-0.4
2019,4,0.09
2019,5,0.26
2019,6,-0.06
2019,7,0.54
2019,8,0.01
2019,9,0.13
2019,10,-0.9
2019,11,-0.5
2019,12,0
2020,1,-1.41
2020,2,-1.48
2020,3,-1.75
2020,4,-1.32
2020,5,-0.53
2020,6,-0.75
2020,7,-0.92
2020,8,-1.33
2020,9,-1.04
2020,10,-0.62
2020,11,-1.59
2020,12,-0.99
2021,1,-0.61
2021,2,-1.09
2021,3,-1.68
2021,4,-1.84
2021,5,-2.01
2021,6,-1.81
2021,7,-1.96
2021,8,-0.94
2021,9,-1.96
2021,10,-3.13
2021,11,-2.75
2021,12,-2.71
2022,1,-2.4
